age,income,loan_amount,credit_history_length,utilization_rate,time_period,default
25,31158.193905154032,10994.697738079652,9,0.07512679816041298,Q2_Train,0
56,41538.955255571826,5351.335331477179,0,0.4257162728114381,Q2_Train,0
41,72535.00510573489,16207.878551590862,2,0.1211265365076865,Q1_Train,0
57,20283.954805411617,40830.212479132875,3,0.34903408918249573,Q1_Train,0
41,22658.618407756385,8109.301583015084,0,0.3252443587142892,Q2_Train,0
20,143935.81037697426,18852.095573567494,13,0.2560675417408065,Q1_Train,0
39,139550.88174641432,39632.12389167448,12,0.030659174823016652,Q2_Train,0
41,59599.91473180263,15893.657355820409,12,0.21071377578343997,Q1_Train,0
61,175086.05184359863,13985.80645242848,9,0.3243481318568298,Q2_Train,0
19,53009.677658775414,11442.404136061334,1,0.06531634961546041,Q1_Train,0
38,98083.78562002213,23647.00615140956,2,0.17798318825049286,Q1_Train,0
50,52435.24010048827,18107.595719681318,6,0.553124351409695,Q2_Train,0
29,96456.9191061244,11396.57546474498,1,0.6989215192737227,Q1_Train,0
42,39761.33968521947,5081.465295006853,11,0.27928140853391886,Q2_Train,0
66,24050.930186441157,35052.17119284607,6,0.2552485266205725,Q2_Train,0
45,103445.33368340477,12581.809180771983,1,0.08907301712061871,Q2_Train,0
33,47287.29627481625,36975.18217794673,7,0.04324002090855135,Q2_Train,0
32,92408.98271066794,20783.179505153836,1,0.24627145209662538,Q2_Train,0
68,114682.28459959752,63880.23360942105,6,0.3624849542583057,Q2_Train,0
24,119907.08561968754,19517.89931828048,2,0.5190392565301223,Q2_Train,0
38,79090.09157581229,19322.419007666263,0,0.31940453336797364,Q2_Train,0
26,69030.29885512628,12470.227767527653,11,0.5768399060605478,Q1_Train,0
56,20741.668212960696,34803.1568071676,7,0.18771756282066604,Q1_Train,0
35,88927.03871827267,20809.9700196769,3,0.16788777442989655,Q2_Train,0
42,35038.428828874756,41654.2662659698,1,0.20332148762244134,Q2_Train,0
31,60091.2479852379,7746.445218501587,5,0.4383802230184918,Q1_Train,0
26,20795.0064761335,10730.152024796058,0,0.2566664215690585,Q2_Train,0
43,106859.31961933251,32157.626984374405,8,0.7463364957547776,Q1_Train,0
