age,income,loan_amount,credit_history_length,utilization_rate,time_period,default
32,46281.22021678009,24217.23635362539,5,0.5498091164265434,Q4_OOT,0
38,201117.4302616396,8148.899632388911,9,0.0391847420587114,Q4_OOT,0
36,113496.94021952,7849.996538751828,11,0.23204490677850262,Q4_OOT,0
28,120018.19742524083,7722.472889249037,5,0.4584053206820031,Q4_OOT,0
53,26396.822623601736,10843.264623439492,9,0.46180861387482375,Q4_OOT,0
47,54329.05221430165,44629.43086008165,7,0.08170305559430988,Q4_OOT,0
55,45008.943452304324,21349.16424845103,13,0.19506017448785537,Q4_OOT,0
61,34517.99414349008,21546.976483320144,3,0.35519537670369933,Q4_OOT,0
61,171272.14450413134,9940.91111159394,10,0.31282881886299635,Q4_OOT,0
68,121439.0908245164,14085.015047049159,10,0.5382386587777026,Q4_OOT,0
21,24799.952312471403,38097.08477242049,0,0.20971055335426753,Q4_OOT,0
67,50049.60636283268,22117.87523629621,14,0.23825217173835994,Q4_OOT,0
19,125516.05551887801,24799.263403800305,13,0.01645396993015223,Q4_OOT,0
61,86953.37637575479,8383.030620294854,7,0.046664116054641984,Q4_OOT,0
31,86796.73631867125,30764.77908736042,8,0.10952760453246863,Q4_OOT,0
57,58057.778179469286,30478.438245260804,1,0.15598668322895048,Q4_OOT,0
61,26550.4375383786,22504.22691925385,8,0.09260339697443408,Q4_OOT,0
31,45603.69075894233,57339.237718817625,0,0.32128689351707307,Q4_OOT,0
41,38113.16053226065,6221.269058988408,8,0.18337831791054415,Q4_OOT,0
18,35409.71726008343,19817.312153050592,13,0.09251494871305392,Q4_OOT,0
61,26927.53734481505,42159.42818957416,6,0.5390712833194715,Q4_OOT,0
41,28342.55063135289,11739.08565846251,8,0.08532312310343611,Q4_OOT,0
59,51547.66078227436,11185.090163896777,3,0.5040041473029612,Q4_OOT,0
58,98319.9397385768,7750.647729666467,10,0.21045769935994457,Q4_OOT,0
51,195435.57242765927,7382.173146185491,13,0.23718293863475604,Q4_OOT,0
54,48289.062645227874,24745.24391852112,12,0.26293918707290564,Q4_OOT,0
18,22957.530127446742,62676.8340008382,14,0.17180978627630153,Q4_OOT,0
68,39535.7727010364,34373.40780155735,6,0.38307425683735546,Q4_OOT,0
66,24933.80064109408,8598.387364083312,14,0.2162357935366815,Q4_OOT,0
69,68520.72885500352,34881.46503600107,2,0.22278342533032952,Q4_OOT,0
39,45811.21920639774,14237.119862682684,3,0.12293443917441925,Q4_OOT,0
45,23703.92484177808,8037.153374605146,1,0.3413445892776562,Q4_OOT,0
61,122947.90887029534,8703.391074389836,14,0.2569687092288399,Q4_OOT,0
28,51229.48090607198,22064.931120781566,12,0.1072292571111614,Q4_OOT,0
44,39597.16607188982,12906.685687172718,11,0.49324231955028763,Q4_OOT,0
59,74751.87904838216,32806.67197740967,11,0.18316985876362893,Q4_OOT,0
66,86130.00098549655,34161.35123328949,3,0.27484775200046047,Q4_OOT,0
66,47038.661910840645,5223.709495072857,11,0.2208448809473003,Q4_OOT,0
36,73871.46000147937,6265.376029862217,0,0.3477674654422713,Q4_OOT,0
19,59662.81449326227,20688.35813674749,5,0.07665798110021942,Q4_OOT,0
34,25033.459424722096,39620.08331971118,4,0.2964563684781923,Q4_OOT,0
51,138702.1168744576,40398.76927226988,3,0.1320191993923995,Q4_OOT,0
23,23730.221554608037,12051.185709591118,12,0.1384568262253639,Q4_OOT,0
33,74978.36644913004,14793.070593579723,8,0.10664815052095021,Q4_OOT,0
50,33308.47124964564,7077.882896551124,6,0.03974895303364812,Q4_OOT,0
26,53632.35863029558,8037.705578914903,5,0.09925245606309374,Q4_OOT,0
23,44786.658584042176,14829.415219343931,0,0.13811193690574242,Q4_OOT,0
37,36091.18450239955,14886.422540990787,3,0.24639768484146188,Q4_OOT,0
43,100888.06348537879,23043.271466824383,14,0.21721869260529608,Q4_OOT,0
20,72423.4561180035,8028.477026214461,8,0.1605582562657279,Q4_OOT,0
69,44357.13110510276,12678.894487330941,6,0.2618087418089466,Q4_OOT,0
50,65669.00043840992,6812.49637506977,6,0.15018394596046764,Q4_OOT,0
57,157288.36358723987,21764.283124546688,3,0.22749750917423128,Q4_OOT,0
35,28243.293567371496,16150.858623244218,10,0.42407388112394845,Q4_OOT,0
18,24106.566856355348,16389.961023664284,6,0.049156454000683525,Q4_OOT,0
54,36319.92925574146,5827.608480392682,7,0.29493335096209394,Q4_OOT,0
52,112478.41642237605,19699.31711667569,13,0.46567423474586706,Q4_OOT,0
25,116657.52391408797,41170.000822231996,9,0.15688832345640513,Q4_OOT,0
19,48554.52464991107,10163.577760057604,11,0.20358389787416614,Q4_OOT,0
33,154253.06898841422,24326.376583641537,8,0.38109650805871914,Q4_OOT,0
53,119133.60934006349,37102.845731707326,7,0.05979736253938094,Q4_OOT,0
